plot,case,D,observable,endpoint_x_condition,path_x_condition,pdf_kind
all / y_T,D=0.01,0.01,y_T,"all endpoints, no x(T) restriction",no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
all / y_T,D=0.05,0.05,y_T,"all endpoints, no x(T) restriction",no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
all / y_T,D=0.1,0.1,y_T,"all endpoints, no x(T) restriction",no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
all / y_int,D=0.01,0.01,y_int,"all endpoints, no x(T) restriction",no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
all / y_int,D=0.05,0.05,y_int,"all endpoints, no x(T) restriction",no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
all / y_int,D=0.1,0.1,y_int,"all endpoints, no x(T) restriction",no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
all / y_mean,D=0.01,0.01,y_mean,"all endpoints, no x(T) restriction",no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
all / y_mean,D=0.05,0.05,y_mean,"all endpoints, no x(T) restriction",no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
all / y_mean,D=0.1,0.1,y_mean,"all endpoints, no x(T) restriction",no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt0 / y_T,D=0.01,0.01,y_T,x(T) ≥ 0  ,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt0 / y_T,D=0.05,0.05,y_T,x(T) ≥ 0  ,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt0 / y_T,D=0.1,0.1,y_T,x(T) ≥ 0  ,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt0 / y_int,D=0.01,0.01,y_int,x(T) ≥ 0  ,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt0 / y_int,D=0.05,0.05,y_int,x(T) ≥ 0  ,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt0 / y_int,D=0.1,0.1,y_int,x(T) ≥ 0  ,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt0 / y_mean,D=0.01,0.01,y_mean,x(T) ≥ 0  ,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt0 / y_mean,D=0.05,0.05,y_mean,x(T) ≥ 0  ,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_gt0 / y_mean,D=0.1,0.1,y_mean,x(T) ≥ 0  ,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_T,D=0.01,0.01,y_T,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_T,D=0.05,0.05,y_T,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_T,D=0.1,0.1,y_T,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_int,D=0.01,0.01,y_int,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_int,D=0.05,0.05,y_int,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_int,D=0.1,0.1,y_int,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_mean,D=0.01,0.01,y_mean,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_mean,D=0.05,0.05,y_mean,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
x_m1_0 / y_mean,D=0.1,0.1,y_mean,-1 ≤ x(T) < 0,no x(t) exclusion; full trajectory observable kept after endpoint-window selection,unbiased_pdf
